Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,0.0,1.0,3.6055512,1.0,1.0,1.4142135,6.3245554,8.0,5.8309517,8.0,14.866069,11.0,14.0,17.464249,20.396078,21.213203,20.09975,24.083189,23.0,33.105892,30.083218,34.785053
2,1.0,0.0,1.0,1.0,10.0,7.81025,5.0,9.433981,11.661903,7.071068,19.104973,12.529964,13.0,21.260292,23.021729,27.45906,19.0,25.495098,23.086792,37.01351,28.160255,32.984844
3,3.6055512,1.0,0.0,1.0,12.165525,8.246211,1.0,8.062258,12.083046,4.2426405,18.35756,10.630146,8.246211,20.0,21.213203,27.730848,14.866069,23.021729,20.12461,35.35534,22.022715,27.018513
4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,10.0,4.0,6.0,12.0415945,13.892444,19.313208,12.369317,16.763054,15.033297,27.802877,23.259407,27.730848
5,1.0,10.0,12.165525,1.0,0.0,1.0,12.165525,5.656854,1.0,9.433981,9.055386,7.28011,12.806249,10.0,15.0,10.630146,18.788294,19.0,19.313208,25.317978,31.890438,35.805027
6,1.4142135,7.81025,8.246211,1.0,1.0,0.0,7.0,1.0,1.0,3.6055512,7.81025,3.0,7.615773,10.29563,12.649111,16.124516,13.928389,16.124516,15.033297,26.076809,26.400757,30.528675
7,6.3245554,5.0,1.0,1.0,12.165525,7.0,0.0,5.0990195,10.0,1.0,15.231546,7.2111025,1.0,16.643316,16.643316,24.596748,4.2426405,17.691807,12.0415945,29.966648,9.0,14.0
8,8.0,9.433981,8.062258,1.0,5.656854,1.0,5.0990195,0.0,1.0,1.0,6.4031243,1.0,3.1622777,8.485281,10.29563,15.811388,10.049875,13.341664,12.0,24.207438,22.022715,26.076809
9,5.8309517,11.661903,12.083046,4.0,1.0,1.0,10.0,1.0,0.0,5.3851647,1.0,1.0,7.2111025,1.0,5.0,1.0,12.0415945,9.0,11.18034,15.0,26.172504,29.681644
10,8.0,7.071068,4.2426405,1.0,9.433981,3.6055512,1.0,1.0,5.3851647,0.0,9.055386,1.0,1.0,9.848858,10.630146,17.888544,7.0,12.529964,10.198039,24.758837,16.552946,21.189621
11,14.866069,19.104973,18.35756,10.0,9.055386,7.81025,15.231546,6.4031243,1.0,9.055386,0.0,1.0,10.0,1.0,4.0,7.615773,10.630146,8.5440035,9.219544,16.124516,25.553865,27.802877
12,11.0,12.529964,10.630146,4.0,7.28011,3.0,7.2111025,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,8.246211,1.0,2.0,1.0,14.142136,15.264338,18.35756
13,14.0,13.0,8.246211,6.0,12.806249,7.615773,1.0,3.1622777,7.2111025,1.0,10.0,1.0,0.0,10.0,7.615773,17.029387,1.0,8.062258,4.2426405,20.808653,10.770329,15.524175
14,17.464249,21.260292,20.0,12.0415945,10.0,10.29563,16.643316,8.485281,1.0,9.848858,1.0,1.0,10.0,0.0,1.0,1.0,8.5440035,4.0,6.708204,10.198039,23.769728,24.758837
15,20.396078,23.021729,21.213203,13.892444,15.0,12.649111,16.643316,10.29563,5.0,10.630146,4.0,1.0,7.615773,1.0,0.0,1.0,5.0,1.0,3.0,7.615773,19.924858,20.518284
16,21.213203,27.45906,27.730848,19.313208,10.630146,16.124516,24.596748,15.811388,1.0,17.888544,7.615773,8.246211,17.029387,1.0,1.0,0.0,15.0,1.0,13.0,1.0,29.427877,27.513634
17,20.09975,19.0,14.866069,12.369317,18.788294,13.928389,4.2426405,10.049875,12.0415945,7.0,10.630146,1.0,1.0,8.5440035,5.0,15.0,0.0,5.0990195,1.0,17.492855,4.1231055,5.656854
18,24.083189,25.495098,23.021729,16.763054,19.0,16.124516,17.691807,13.341664,9.0,12.529964,8.5440035,2.0,8.062258,4.0,1.0,1.0,5.0990195,0.0,3.1622777,1.0,19.235384,18.027756
19,23.0,23.086792,20.12461,15.033297,19.313208,15.033297,12.0415945,12.0,11.18034,10.198039,9.219544,1.0,4.2426405,6.708204,3.0,13.0,1.0,3.1622777,0.0,13.152946,8.246211,5.3851647
20,33.105892,37.01351,35.35534,27.802877,25.317978,26.076809,29.966648,24.207438,15.0,24.758837,16.124516,14.142136,20.808653,10.198039,7.615773,1.0,17.492855,1.0,13.152946,0.0,28.442924,23.345236
21,30.083218,28.160255,22.022715,23.259407,31.890438,26.400757,9.0,22.022715,26.172504,16.552946,25.553865,15.264338,10.770329,23.769728,19.924858,29.427877,4.1231055,19.235384,8.246211,28.442924,0.0,1.0
22,34.785053,32.984844,27.018513,27.730848,35.805027,30.528675,14.0,26.076809,29.681644,21.189621,27.802877,18.35756,15.524175,24.758837,20.518284,27.513634,5.656854,18.027756,5.3851647,23.345236,1.0,0.0
