Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1,0.0,1.0,1.0,1.0,9.055386,4.1231055,1.4142135,3.0,13.601471,2.0,11.313708,15.264338,12.206555,20.12461,16.03122,19.313208,17.0,20.09975,28.319605,26.832815,27.45906,30.805843,27.073973,26.076809,28.635643,31.04835,33.61547,40.0,35.014282,47.423622,39.0,48.76474,48.270073,54.56189,58.30952,49.0408,56.364883,50.32892,48.0,55.7315,61.46544,63.06346
2,1.0,0.0,1.4142135,10.0,1.0,5.0,1.0,2.236068,7.2111025,10.29563,20.615528,11.7046995,19.209373,17.720045,19.849434,17.262676,17.088007,19.646883,22.472204,33.24154,31.06445,38.28838,27.202942,25.495098,26.683329,34.98571,40.311287,47.423622,34.0,55.31727,39.849716,54.644306,50.695168,60.0,64.53681,53.338543,61.611687,54.91812,48.270073,57.939625,66.037865,66.211784
3,1.0,1.4142135,0.0,1.0,10.0,1.0,1.0,1.0,12.529964,1.0,10.770329,13.453624,10.0,18.027756,12.369317,17.0,13.038404,16.763054,26.41969,24.41311,24.04163,29.0,23.021729,22.36068,25.96151,27.856777,31.400637,38.209946,32.06244,45.96738,35.057095,46.32494,44.911022,51.971146,56.0357,46.09772,53.712196,47.423622,44.011364,52.17279,58.60034,59.77458
4,1.0,10.0,1.0,0.0,19.646883,4.2426405,11.0,9.486833,21.095022,1.0,1.0,21.633308,3.1622777,25.495098,9.055386,24.04163,12.083046,19.209373,33.24154,16.763054,20.0,20.248457,22.135944,23.600847,31.06445,23.0,23.769728,29.068884,33.83785,35.510563,32.0,38.626415,40.112343,44.922153,47.92703,40.024994,46.818798,41.231056,41.976185,48.010414,52.201534,54.589375
5,9.055386,1.0,10.0,19.646883,0.0,11.18034,1.0,6.3245554,1.0,16.03122,27.0,3.0,19.924858,8.0,20.880613,8.062258,14.764823,12.529964,14.866069,33.12099,29.206163,39.92493,22.671568,19.416489,17.029387,32.55764,40.706264,48.30114,25.317978,56.35601,34.669872,52.34501,46.043457,58.0517,63.25346,50.24938,59.413803,52.3259,42.047592,53.0,62.201286,61.854668
6,4.1231055,5.0,1.0,4.2426405,11.18034,0.0,3.6055512,1.0,10.770329,1.0,11.045361,11.18034,8.062258,14.866069,8.602325,13.453624,8.0,11.0,22.671568,21.931713,20.12461,27.202942,18.0,17.0,21.023796,24.166092,29.0,36.23534,26.305893,44.20407,30.265491,43.416588,40.5216,48.82622,53.263496,42.48529,50.47772,43.908997,39.115215,47.801674,55.072678,55.713554
7,1.4142135,1.0,1.0,11.0,1.0,3.6055512,0.0,1.0,1.0,9.486833,19.924858,1.4142135,14.764823,6.3245554,15.652476,6.0,10.630146,9.848858,14.866069,28.600698,25.455845,34.88553,19.849434,17.117243,15.297058,29.068884,36.05551,43.56604,23.086792,51.62364,31.906113,48.9183,43.266617,54.48853,59.413803,47.201694,55.97321,49.0408,39.39543,50.24938,59.405388,59.07622
8,3.0,2.236068,1.0,9.486833,6.3245554,1.0,1.0,0.0,6.4031243,5.0,16.0,7.071068,10.630146,11.401754,11.401754,10.29563,8.246211,11.045361,19.723083,24.758837,22.203604,30.528675,18.439089,17.029387,19.416489,26.076809,32.01562,39.40812,26.0,47.434166,31.04835,45.80393,41.785164,51.224995,55.9017,44.418465,52.801514,46.043457,39.623226,49.0408,57.14018,57.271286
9,13.601471,7.2111025,12.529964,21.095022,1.0,10.770329,1.0,6.4031243,0.0,15.297058,26.076809,1.0,18.439089,6.0,19.416489,6.0,13.0,10.29563,9.219544,31.304953,27.202942,38.27532,20.518284,17.262676,15.0,30.479502,38.910152,46.518814,23.194826,54.56189,32.449963,50.24938,43.829212,55.97321,61.220913,48.104053,57.31492,50.20956,39.812057,50.77401,60.0,59.64059
10,2.0,10.29563,1.0,1.0,16.03122,1.0,9.486833,5.0,15.297058,0.0,1.0,15.524175,1.0,18.35756,1.0,16.155495,2.0,9.433981,25.495098,14.142136,12.649111,19.104973,12.649111,13.038404,21.400934,16.552946,21.213203,28.319605,23.323807,36.069378,24.0,35.608986,33.526108,41.04875,45.453274,34.88553,42.72002,36.23534,33.06055,40.792156,47.41308,48.38388
11,11.313708,20.615528,10.770329,1.0,27.0,11.045361,19.924858,16.0,26.076809,1.0,0.0,26.172504,1.0,28.160255,1.0,24.5153,6.708204,17.464249,33.526108,1.0,9.219544,4.472136,14.21267,18.867962,28.635643,9.486833,8.062258,13.601471,28.319605,21.213203,19.235384,22.847319,26.076809,29.12044,32.202484,25.019993,31.04835,26.076809,31.780497,34.525352,36.67424,40.0
12,15.264338,11.7046995,13.453624,21.633308,3.0,11.18034,1.4142135,7.071068,1.0,15.524175,26.172504,0.0,18.0,1.0,19.0,1.0,12.0,6.4031243,2.0,29.410883,24.596748,36.878178,17.029387,12.369317,9.055386,27.45906,36.769554,44.598206,18.248287,52.554733,28.42534,47.010635,39.661064,52.801514,58.249462,44.553337,54.037025,46.8615,35.35534,46.615448,56.0803,55.605755
13,12.206555,19.209373,10.0,3.1622777,19.924858,8.062258,14.764823,10.630146,18.439089,1.0,1.0,18.0,0.0,19.104973,1.0,14.866069,1.0,8.062258,24.166092,8.944272,11.0,13.453624,11.401754,11.661903,20.0,14.0,15.811388,22.627417,21.954498,30.413813,23.0,30.88689,31.144823,36.67424,40.496914,31.320919,38.483765,32.572994,32.01562,39.012817,43.65776,45.705578
14,20.12461,17.720045,18.027756,25.495098,8.0,14.866069,6.3245554,11.401754,6.0,18.35756,28.160255,1.0,19.104973,0.0,20.09975,1.0,13.0,6.4031243,1.0,30.083218,25.079872,37.65634,17.20465,8.062258,2.236068,26.832815,37.336308,45.221676,12.083046,53.14132,26.076809,46.06517,36.069378,51.884487,57.697487,41.773197,52.83938,45.65085,31.144823,43.13931,53.15073,52.3259
15,16.03122,19.849434,12.369317,9.055386,20.880613,8.602325,15.652476,11.401754,19.416489,1.0,1.0,19.0,1.0,20.09975,0.0,15.811388,1.0,8.944272,25.079872,1.0,1.0,3.6055512,5.656854,11.7046995,20.808653,4.0,6.3245554,12.727922,20.248457,20.615528,13.0,21.470911,21.095022,27.45906,30.88689,21.540659,29.15476,22.847319,23.769728,29.0,34.0147,35.69314
16,19.313208,17.262676,17.0,24.04163,8.062258,13.453624,6.0,10.29563,6.0,16.155495,24.5153,1.0,14.866069,1.0,15.811388,0.0,8.0,1.0,1.0,24.5153,19.104973,32.24903,10.198039,2.236068,1.0,20.248457,31.400637,39.0,8.062258,47.07441,19.849434,39.446167,30.479502,45.276924,51.0,36.069378,46.32494,39.115215,25.806976,37.536648,47.38143,46.69047
17,17.0,17.088007,13.038404,12.083046,14.764823,8.0,10.630146,8.246211,13.0,2.0,6.708204,12.0,1.0,13.0,1.0,8.0,0.0,1.0,16.03122,3.0,1.0,11.0,1.0,1.0,10.29563,4.1231055,10.29563,18.027756,10.0,26.0,11.0,23.323807,20.396078,28.600698,33.24154,22.36068,30.232433,23.70654,20.22375,27.658634,34.88553,35.468296
18,20.09975,19.646883,16.763054,19.209373,12.529964,11.0,9.848858,11.045361,10.29563,9.433981,17.464249,6.4031243,8.062258,6.4031243,8.944272,1.0,1.0,0.0,7.0,17.029387,11.401754,25.0,3.6055512,1.0,1.0,13.892444,23.769728,31.622776,7.0,39.56008,15.0,33.42155,26.400757,39.20459,44.65423,31.112698,40.459858,33.30165,22.36068,33.286633,42.638012,42.201897
19,28.319605,22.472204,26.41969,33.24154,14.866069,22.671568,14.866069,19.723083,9.219544,25.495098,33.526108,2.0,24.166092,1.0,25.079872,1.0,16.03122,7.0,0.0,32.0,26.019224,40.0,17.029387,7.28011,1.0,26.0,38.078865,45.221676,8.944272,53.75872,25.059929,45.188496,34.20526,50.990196,56.859474,40.0,51.884487,44.72136,29.068884,41.036568,51.40039,50.20956
20,26.832815,33.24154,24.41311,16.763054,33.12099,21.931713,28.600698,24.758837,31.304953,14.142136,1.0,29.410883,8.944272,30.083218,1.0,24.5153,3.0,17.029387,32.0,0.0,1.0,1.0,6.3245554,13.928389,24.5153,1.0,1.0,8.062258,20.59126,16.124516,10.049875,14.764823,17.0,20.615528,24.41311,16.03122,22.472204,17.117243,21.954498,25.317978,27.89265,31.0
21,27.45906,31.06445,24.04163,20.0,29.206163,20.12461,25.455845,22.203604,27.202942,12.649111,9.219544,24.596748,11.0,25.079872,1.0,19.104973,1.0,11.401754,26.019224,1.0,0.0,9.0,1.0,8.062258,18.439089,1.0,7.28011,15.231546,15.0,23.086792,8.0,19.723083,17.088007,25.0,29.698484,18.788294,26.627054,20.12461,18.027756,24.33105,31.304953,31.95309
22,30.805843,38.28838,29.0,20.248457,39.92493,27.202942,34.88553,30.528675,38.27532,19.104973,4.472136,36.878178,13.453624,37.65634,3.6055512,32.24903,11.0,25.0,40.0,1.0,9.0,0.0,14.3178215,21.84033,32.55764,4.2426405,1.0,1.0,28.231188,1.0,12.529964,6.0827627,18.439089,15.524175,14.3178215,15.811388,16.124516,14.866069,26.400757,27.202942,24.186773,29.410883
23,27.073973,27.202942,23.021729,22.135944,22.671568,18.0,19.849434,18.439089,20.518284,12.649111,14.21267,17.029387,11.401754,17.20465,5.656854,10.198039,1.0,3.6055512,17.029387,6.3245554,1.0,14.3178215,0.0,1.0,9.848858,1.0,11.401754,18.788294,4.1231055,27.166155,1.0,19.416489,11.661903,25.23886,30.88689,16.27882,26.400757,19.209373,10.0,18.788294,27.802877,27.45906
24,26.076809,25.495098,22.36068,23.600847,19.416489,17.0,17.117243,17.029387,17.262676,13.038404,18.867962,12.369317,11.661903,8.062258,11.7046995,2.236068,1.0,1.0,7.28011,13.928389,8.062258,21.84033,1.0,0.0,1.0,5.0990195,18.0,24.5153,1.0,34.0,4.2426405,24.166092,14.21267,29.966648,35.846897,19.79899,30.88689,23.70654,9.848858,21.260292,31.144823,30.413813
25,28.635643,26.683329,25.96151,31.06445,17.029387,21.023796,15.297058,19.416489,15.0,21.400934,28.635643,9.055386,20.0,2.236068,20.808653,1.0,10.29563,1.0,1.0,24.5153,18.439089,32.55764,9.848858,1.0,0.0,16.27882,29.068884,35.69314,1.0,45.044422,14.866069,35.1141,24.083189,40.853397,46.818798,29.832869,41.62932,34.539833,19.104973,31.112698,41.231056,40.311287
26,31.04835,34.98571,27.856777,23.0,32.55764,24.166092,29.068884,26.076809,30.479502,16.552946,9.486833,27.45906,14.0,26.832815,4.0,20.248457,4.1231055,13.892444,26.0,1.0,1.0,4.2426405,1.0,5.0990195,16.27882,0.0,1.0,7.071068,10.049875,16.03122,1.0,7.81025,7.0,13.453624,18.867962,6.708204,14.866069,8.062258,10.440307,15.524175,19.235384,21.095022
27,33.61547,40.311287,31.400637,23.769728,40.706264,29.0,36.05551,32.01562,38.910152,21.213203,8.062258,36.769554,15.811388,37.336308,6.3245554,31.400637,10.29563,23.769728,38.078865,1.0,7.28011,1.0,11.401754,18.0,29.068884,1.0,0.0,1.0,23.0,8.246211,1.0,1.0,4.1231055,5.656854,11.18034,1.0,7.2111025,1.0,12.806249,12.0415945,12.083046,15.033297
28,40.0,47.423622,38.209946,29.068884,48.30114,36.23534,43.56604,39.40812,46.518814,28.319605,13.601471,44.598206,22.627417,45.221676,12.727922,39.0,18.027756,31.622776,45.221676,8.062258,15.231546,1.0,18.788294,24.5153,35.69314,7.071068,1.0,0.0,29.068884,1.0,4.0,1.0,7.615773,5.8309517,9.486833,4.472136,7.615773,3.0,16.40122,15.231546,13.152946,17.464249
29,35.014282,34.0,32.06244,33.83785,25.317978,26.305893,23.086792,26.0,23.194826,23.323807,28.319605,18.248287,21.954498,12.083046,20.248457,8.062258,10.0,7.0,8.944272,20.59126,15.0,28.231188,4.1231055,1.0,1.0,10.049875,23.0,29.068884,0.0,39.0,8.0,27.89265,16.27882,33.526108,39.56008,22.022715,34.176014,27.202942,11.401754,23.345236,33.42155,32.526913
30,47.423622,55.31727,45.96738,35.510563,56.35601,44.20407,51.62364,47.434166,54.56189,36.069378,21.213203,52.554733,30.413813,53.14132,20.615528,47.07441,26.0,39.56008,53.75872,16.124516,23.086792,1.0,27.166155,34.0,45.044422,16.03122,8.246211,1.0,39.0,0.0,14.56022,1.0,18.384777,7.615773,1.0,15.231546,6.4031243,11.18034,26.832815,22.203604,15.556349,22.627417
31,39.0,39.849716,35.057095,32.0,34.669872,30.265491,31.906113,31.04835,32.449963,24.0,19.235384,28.42534,23.0,26.076809,13.0,19.849434,11.0,15.0,25.059929,10.049875,8.0,12.529964,1.0,4.2426405,14.866069,1.0,1.0,4.0,8.0,14.56022,0.0,2.236068,1.0,8.062258,13.928389,1.0,9.219544,2.236068,1.0,7.2111025,13.038404,15.0
32,48.76474,54.644306,46.32494,38.626415,52.34501,43.416588,48.9183,45.80393,50.24938,35.608986,22.847319,47.010635,30.88689,46.06517,21.470911,39.446167,23.323807,33.42155,45.188496,14.764823,19.723083,6.0827627,19.416489,24.166092,35.1141,7.81025,1.0,1.0,27.89265,1.0,2.236068,0.0,5.0990195,1.0,1.0,2.0,1.0,1.0,13.601471,12.206555,9.0,13.928389
