Object,Neighbor,Distance
1,3,
1,5,
2,4,
2,6,
3,1,
3,5,
3,7,
4,2,
4,6,
4,8,
5,1,
5,3,
5,7,
5,9,
5,14,
6,2,
6,4,
6,8,
7,3,
7,5,
7,11,
7,14,
8,4,
8,6,
9,5,
9,10,
9,12,
9,14,
10,9,
10,12,
10,13,
11,7,
11,14,
12,9,
12,10,
12,13,
12,14,
13,10,
13,12,
13,15,
13,16,
13,17,
13,19,
13,21,
14,5,
14,7,
14,9,
14,11,
14,12,
14,17,
15,13,
15,18,
15,21,
16,13,
16,17,
16,19,
16,20,
17,13,
17,14,
17,16,
17,20,
18,15,
18,21,
19,13,
19,16,
19,20,
19,21,
20,16,
20,17,
20,19,
20,21,
21,13,
21,15,
21,18,
21,19,
21,20,
