Object,Neighbor,Distance
1,2,
2,1,
2,3,
3,2,
4,5,
4,6,
4,9,
5,4,
5,6,
5,7,
6,4,
6,5,
6,7,
6,9,
7,5,
7,6,
7,9,
8,10,
8,11,
8,13,
8,14,
9,4,
9,6,
9,7,
9,10,
9,15,
10,8,
10,9,
10,11,
10,12,
10,16,
11,8,
11,10,
11,12,
11,13,
12,10,
12,11,
12,13,
12,16,
12,19,
12,20,
13,8,
13,11,
13,12,
13,14,
13,18,
13,20,
14,8,
14,13,
14,18,
15,9,
15,16,
15,17,
16,10,
16,12,
16,15,
16,17,
16,19,
16,21,
17,15,
17,16,
17,21,
18,13,
18,14,
18,20,
18,22,
19,12,
19,16,
19,20,
19,21,
19,25,
20,12,
20,13,
20,18,
20,19,
20,22,
20,23,
21,16,
21,17,
21,19,
21,24,
21,25,
22,18,
22,20,
22,23,
22,26,
23,20,
23,22,
23,25,
23,26,
23,28,
24,21,
24,25,
25,19,
25,21,
25,23,
25,24,
26,22,
26,23,
26,28,
27,29,
28,23,
28,26,
29,27,
