Object,Neighbor,Distance
1,3,
2,4,
2,5,
2,9,
3,1,
4,2,
4,5,
4,6,
4,7,
5,2,
5,4,
5,7,
5,9,
6,4,
6,7,
6,8,
6,10,
6,11,
7,4,
7,5,
7,6,
7,9,
7,10,
7,13,
8,6,
8,11,
9,2,
9,5,
9,7,
9,12,
9,13,
9,15,
10,6,
10,7,
10,11,
10,13,
10,17,
11,6,
11,8,
11,10,
11,17,
11,20,
12,9,
12,14,
12,16,
13,7,
13,9,
13,10,
13,15,
13,17,
13,18,
14,12,
14,16,
14,19,
15,9,
15,13,
15,16,
15,17,
15,18,
15,19,
16,12,
16,14,
16,15,
16,19,
17,10,
17,11,
17,13,
17,15,
17,18,
17,20,
18,13,
18,15,
18,17,
19,14,
19,15,
19,16,
20,11,
20,17,
