Object,Neighbor,Distance
1,8,
2,4,
4,2,
4,5,
4,6,
4,7,
4,10,
5,4,
5,7,
5,10,
5,13,
6,4,
6,9,
6,10,
7,4,
7,5,
7,11,
7,13,
8,1,
9,6,
9,10,
9,12,
9,14,
10,4,
10,5,
10,6,
10,9,
10,12,
10,13,
10,15,
11,7,
11,13,
11,16,
12,9,
12,10,
12,14,
12,15,
12,17,
13,5,
13,7,
13,10,
13,11,
13,15,
13,16,
13,18,
13,19,
13,20,
14,9,
14,12,
14,17,
15,10,
15,12,
15,13,
15,17,
15,19,
15,24,
16,11,
16,13,
16,18,
16,23,
17,12,
17,14,
17,15,
17,21,
17,24,
18,13,
18,16,
18,20,
18,23,
19,13,
19,15,
19,20,
19,22,
19,24,
20,13,
20,18,
20,19,
20,22,
20,23,
20,26,
21,17,
21,24,
21,27,
21,28,
21,36,
22,19,
22,20,
22,24,
22,26,
22,30,
22,32,
23,16,
23,18,
23,20,
23,26,
23,29,
24,15,
24,17,
24,19,
24,21,
24,22,
24,28,
24,30,
24,34,
25,27,
26,20,
26,22,
26,23,
26,29,
26,32,
27,21,
27,25,
27,36,
27,38,
28,21,
28,24,
28,31,
28,34,
28,36,
28,37,
29,23,
29,26,
29,32,
29,33,
30,22,
30,24,
30,32,
30,34,
31,28,
31,34,
32,22,
32,26,
32,29,
32,30,
32,33,
32,34,
33,29,
33,32,
34,24,
34,28,
34,30,
34,31,
34,32,
34,37,
35,39,
36,21,
36,27,
36,28,
36,37,
36,38,
37,28,
37,34,
37,36,
38,27,
38,36,
39,35,
