Object,Neighbor,Distance
1,3,
2,7,
3,1,
4,5,
4,6,
4,8,
4,9,
4,13,
5,4,
5,8,
6,4,
6,8,
6,9,
6,12,
7,2,
8,4,
8,5,
8,6,
8,10,
8,12,
8,15,
9,4,
9,6,
9,12,
9,13,
10,8,
10,14,
10,15,
11,13,
11,16,
11,17,
12,6,
12,8,
12,9,
12,13,
12,15,
12,19,
12,25,
13,4,
13,9,
13,11,
13,12,
13,16,
13,19,
14,10,
14,15,
14,18,
14,20,
14,24,
14,25,
15,8,
15,10,
15,12,
15,14,
15,25,
16,11,
16,13,
16,17,
16,19,
16,21,
16,23,
17,11,
17,16,
17,23,
18,14,
18,20,
18,22,
19,12,
19,13,
19,16,
19,21,
19,25,
20,14,
20,18,
20,22,
21,16,
21,19,
21,23,
21,28,
22,18,
22,20,
22,24,
22,27,
23,16,
23,17,
23,21,
23,28,
23,31,
24,14,
24,22,
24,25,
24,27,
25,12,
25,14,
25,15,
25,19,
25,24,
25,26,
25,27,
25,32,
26,25,
26,30,
26,32,
26,41,
27,22,
27,24,
27,25,
27,32,
27,34,
28,21,
28,23,
28,29,
28,31,
28,37,
29,28,
29,31,
29,37,
29,39,
30,26,
30,33,
30,41,
30,43,
31,23,
31,28,
31,29,
31,39,
32,25,
32,26,
32,27,
32,34,
32,36,
32,38,
32,41,
33,30,
33,37,
33,43,
34,27,
34,32,
34,35,
34,36,
35,34,
35,36,
35,40,
35,50,
36,32,
36,34,
36,35,
36,38,
36,44,
37,28,
37,29,
37,33,
37,39,
37,42,
37,43,
38,32,
38,36,
38,41,
38,44,
39,29,
39,31,
39,37,
39,42,
40,35,
40,49,
40,50,
41,26,
41,30,
41,32,
41,38,
41,43,
41,44,
41,45,
41,46,
42,37,
42,39,
42,43,
43,30,
43,33,
43,37,
43,41,
43,42,
43,46,
44,36,
44,38,
44,41,
44,45,
45,41,
45,44,
45,46,
45,48,
46,41,
46,43,
46,45,
46,48,
47,51,
48,45,
48,46,
49,40,
49,50,
50,35,
50,40,
50,49,
51,47,
