Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.0,1.0,1.0,2.0,15.0,4.0,12.206555,16.124516,9.848858,15.524175,8.0,26.0,25.079872,26.24881
2,1.0,0.0,1.0,1.0,15.033297,1.0,7.2111025,13.601471,5.0,10.198039,4.0,21.260292,19.924858,20.880613
3,1.0,1.0,0.0,1.0,1.0,6.0827627,1.0,1.0,8.602325,7.81025,16.155495,11.045361,18.788294,16.124516
4,2.0,1.0,1.0,0.0,12.0,1.0,1.0,7.2111025,1.0,2.236068,8.246211,14.21267,13.038404,13.0
5,15.0,15.033297,1.0,12.0,0.0,18.027756,7.28011,1.0,19.313208,12.727922,27.313,10.630146,26.172504,21.095022
6,4.0,1.0,6.0827627,1.0,18.027756,0.0,2.236068,11.18034,1.0,3.6055512,1.0,16.27882,14.0,14.3178215
7,12.206555,7.2111025,1.0,1.0,7.28011,2.236068,0.0,1.0,1.0,1.0,8.944272,5.0,11.18034,8.062258
8,16.124516,13.601471,1.0,7.2111025,1.0,11.18034,1.0,0.0,10.0,1.0,17.117243,1.0,14.21267,9.219544
9,9.848858,5.0,8.602325,1.0,19.313208,1.0,1.0,10.0,0.0,1.0,1.0,8.0,1.0,1.0
10,15.524175,10.198039,7.81025,2.236068,12.727922,3.6055512,1.0,1.0,1.0,0.0,7.0,1.0,2.236068,1.0
11,8.0,4.0,16.155495,8.246211,27.313,1.0,8.944272,17.117243,1.0,7.0,0.0,15.0,1.0,7.0
12,26.0,21.260292,11.045361,14.21267,10.630146,16.27882,5.0,1.0,8.0,1.0,15.0,0.0,9.0,1.0
13,25.079872,19.924858,18.788294,13.038404,26.172504,14.0,11.18034,14.21267,1.0,2.236068,1.0,9.0,0.0,1.0
14,26.24881,20.880613,16.124516,13.0,21.095022,14.3178215,8.062258,9.219544,1.0,1.0,7.0,1.0,1.0,0.0
