Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0.0,1.0,1.0,8.062258,7.615773,2.828427,16.124516,14.21267,28.01785,29.15476,25.96151,38.013157,37.12142,44.04543
2,1.0,0.0,1.0,5.0,1.0,1.0,10.0,11.313708,25.455845,20.248457,18.027756,32.24903,30.805843,38.327538
3,1.0,1.0,0.0,19.416489,1.0,9.0,1.0,18.027756,30.413813,10.770329,9.219544,29.410883,25.495098,34.88553
4,8.062258,5.0,19.416489,0.0,12.529964,1.0,28.635643,1.0,10.0,36.619667,26.172504,27.0,32.695564,37.64306
5,7.615773,1.0,1.0,12.529964,0.0,1.0,1.0,3.1622777,14.3178215,9.219544,1.0,15.297058,13.601471,21.377558
6,2.828427,1.0,9.0,1.0,1.0,0.0,14.035668,1.0,11.313708,19.235384,6.3245554,15.0,14.142136,21.023796
7,16.124516,10.0,1.0,28.635643,1.0,14.035668,0.0,18.384777,29.546574,1.0,1.0,25.612497,15.811388,29.832869
8,14.21267,11.313708,18.027756,1.0,3.1622777,1.0,18.384777,0.0,1.0,22.0,8.062258,9.848858,12.206555,16.124516
9,28.01785,25.455845,30.413813,10.0,14.3178215,11.313708,29.546574,1.0,0.0,32.38827,15.811388,1.0,12.727922,15.6205
10,29.15476,20.248457,10.770329,36.619667,9.219544,19.235384,1.0,22.0,32.38827,0.0,1.0,26.076809,6.708204,28.84441
11,25.96151,18.027756,9.219544,26.172504,1.0,6.3245554,1.0,8.062258,15.811388,1.0,0.0,5.0990195,1.0,8.944272
12,38.013157,32.24903,29.410883,27.0,15.297058,15.0,25.612497,9.848858,1.0,26.076809,5.0990195,0.0,1.0,1.0
13,37.12142,30.805843,25.495098,32.695564,13.601471,14.142136,15.811388,12.206555,12.727922,6.708204,1.0,1.0,0.0,1.0
14,44.04543,38.327538,34.88553,37.64306,21.377558,21.023796,29.832869,16.124516,15.6205,28.84441,8.944272,1.0,1.0,0.0
