Object,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,0.0,1.0,5.0,1.0,1.0,13.453624,4.472136,16.970562,19.416489,10.770329,11.045361,15.132746,21.931713,19.416489,20.59126,18.027756,24.186773,30.870699,27.0,26.57066,31.257,34.20526,31.906113,51.62364,36.67424,42.059483,36.05551,39.623226,45.694637,56.82429
2,1.0,0.0,1.0,8.246211,1.0,5.0,1.0,8.602325,11.7046995,12.0415945,8.944272,11.0,14.866069,19.79899,15.132746,15.033297,21.0,25.96151,24.083189,25.059929,28.86174,36.124783,33.24154,53.740116,33.01515,42.520584,31.575306,37.363083,44.294468,57.00877
3,5.0,1.0,0.0,19.0,10.049875,1.0,1.0,1.0,1.0,20.615528,15.264338,9.486833,8.062258,26.925823,11.401754,17.20465,19.924858,22.36068,25.553865,30.413813,31.622776,44.418465,40.496914,60.80296,31.320919,49.0408,28.284271,39.962482,48.9183,62.369865
4,1.0,8.246211,19.0,0.0,1.0,22.0,10.198039,24.351591,29.832869,1.0,4.2426405,14.21267,26.0,5.3851647,20.518284,14.56022,21.400934,31.112698,22.36068,18.0,24.5153,20.12461,18.681541,36.796738,31.622776,29.12044,34.4093,32.01562,35.014282,43.65776
5,1.0,1.0,10.049875,1.0,0.0,12.0,1.0,13.928389,20.0,1.0,1.0,5.0,15.652476,8.944272,11.401754,7.28011,13.601471,22.022715,16.03122,15.524175,20.396078,24.758837,21.931713,42.426407,26.019224,31.622776,26.400757,28.86174,34.539833,46.32494
6,13.453624,5.0,1.0,22.0,12.0,0.0,1.0,1.0,5.0,21.095022,13.601471,4.0,5.0990195,25.298222,6.0,13.601471,14.764823,17.029387,21.260292,26.907248,27.58623,43.32436,38.013157,58.30952,25.70992,46.32494,23.021729,35.608986,45.254833,58.694122
7,4.472136,1.0,1.0,10.198039,1.0,1.0,0.0,1.0,8.0,8.062258,1.0,1.0,2.828427,12.083046,3.0,4.0,10.0,14.0,13.038404,15.556349,18.027756,29.966648,25.553865,45.80393,22.090721,34.058773,20.0,26.57066,34.4093,47.801674
8,16.970562,8.602325,1.0,24.351591,13.928389,1.0,1.0,0.0,1.0,22.36068,13.038404,1.0,1.0,24.5153,2.236068,12.083046,11.661903,13.152946,19.104973,25.0,24.698177,42.44997,36.359318,56.82429,22.135944,44.687805,19.104973,33.24154,43.185646,56.63921
9,19.416489,11.7046995,1.0,29.832869,20.0,5.0,8.0,1.0,0.0,29.068884,21.023796,8.062258,1.0,32.38827,7.81025,19.313208,17.029387,14.764823,24.758837,31.764761,29.732138,50.219517,43.046486,63.953106,26.076809,51.0392,21.931713,38.8973,49.40648,62.801273
10,10.770329,12.0415945,20.615528,1.0,1.0,21.095022,8.062258,22.36068,29.068884,0.0,1.0,11.18034,23.769728,1.0,15.811388,5.8309517,14.866069,25.0,14.21267,8.0,15.231546,14.21267,12.083046,31.827662,22.825424,22.472204,27.58623,22.090721,26.24881,37.161808
11,11.045361,8.944272,15.264338,4.2426405,1.0,13.601471,1.0,13.038404,21.023796,1.0,0.0,1.0,14.0,1.0,5.656854,1.0,6.4031243,16.27882,8.062258,3.1622777,9.848858,18.248287,12.806249,33.01515,17.464249,21.260292,19.416489,17.0,22.36068,35.383614
12,15.132746,11.0,9.486833,14.21267,5.0,4.0,1.0,1.0,8.062258,11.18034,1.0,0.0,1.0,12.0415945,1.0,1.0,4.0,10.770329,8.062258,13.453624,14.21267,29.832869,24.186773,44.418465,16.124516,32.449963,15.652476,22.472204,31.827662,45.254833
13,21.931713,14.866069,8.062258,26.0,15.652476,5.0990195,2.828427,1.0,1.0,23.769728,14.0,1.0,0.0,25.079872,1.0,11.7046995,9.433981,4.1231055,15.811388,24.186773,21.095022,42.755116,35.510563,56.35601,16.27882,43.416588,11.18034,30.528675,41.340054,54.91812
14,19.416489,19.79899,26.925823,5.3851647,8.944272,25.298222,12.083046,24.5153,32.38827,1.0,1.0,12.0415945,25.079872,0.0,15.0,1.0,11.401754,21.540659,8.485281,1.0,9.219544,6.0,1.4142135,21.931713,17.029387,10.816654,23.021729,14.56022,16.0,25.553865
15,20.59126,15.132746,11.401754,20.518284,11.401754,6.0,3.0,2.236068,7.81025,15.811388,5.656854,1.0,1.0,15.0,0.0,1.0,1.0,1.0,6.4031243,12.529964,12.0415945,32.06244,23.853722,44.72136,8.5440035,32.01562,6.0,20.615528,30.479502,43.931767
16,18.027756,15.033297,17.20465,14.56022,7.28011,13.601471,4.0,12.083046,19.313208,5.8309517,1.0,1.0,11.7046995,1.0,1.0,0.0,1.0,9.899495,1.0,1.0,2.0,17.029387,10.816654,31.06445,8.944272,19.209373,13.416408,10.440307,19.104973,32.526913
17,24.186773,21.0,19.924858,21.400934,13.601471,14.764823,10.0,11.661903,17.029387,14.866069,6.4031243,4.0,9.433981,11.401754,1.0,1.0,0.0,1.0,1.0,7.28011,5.656854,28.0,18.35756,39.39543,1.0,26.400757,1.0,14.866069,24.839485,38.28838
18,30.870699,25.96151,22.36068,31.112698,22.022715,17.029387,14.0,13.152946,14.764823,25.0,16.27882,10.770329,4.1231055,21.540659,1.0,9.899495,1.0,0.0,4.2426405,16.0,9.433981,37.0,25.0,46.572525,5.0,32.31099,1.0,18.867962,29.681644,43.416588
19,27.0,24.083189,25.553865,22.36068,16.03122,21.260292,13.038404,19.104973,24.758837,14.21267,8.062258,8.062258,15.811388,8.485281,6.4031243,1.0,1.0,4.2426405,0.0,1.0,1.0,22.0,11.661903,32.695564,1.0,19.849434,2.236068,8.485281,18.384777,31.827662
