Object,1,2,3,4,5,6,7,8,9,10,11,12
1,0.0,1.0,1.0,4.472136,3.6055512,7.0,10.0,16.763054,21.213203,18.0,25.298222,27.513634
2,1.0,0.0,1.0,1.0,11.401754,3.1622777,8.602325,18.601076,26.832815,13.416408,26.172504,19.0
3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,9.433981,16.40122,11.401754,17.888544,21.931713
4,4.472136,1.0,1.0,0.0,11.0,1.0,5.656854,15.264338,25.298222,3.6055512,21.470911,8.062258
5,3.6055512,11.401754,1.0,11.0,0.0,4.0,1.0,1.0,1.0,10.816654,8.0,26.172504
6,7.0,3.1622777,1.0,1.0,4.0,0.0,1.0,9.219544,18.384777,1.0,16.27882,8.5440035
7,10.0,8.602325,1.0,5.656854,1.0,1.0,0.0,1.0,8.062258,1.0,7.071068,12.727922
8,16.763054,18.601076,9.433981,15.264338,1.0,9.219544,1.0,0.0,1.0,1.0,1.0,15.811388
9,21.213203,26.832815,16.40122,25.298222,1.0,18.384777,8.062258,1.0,0.0,12.0,1.0,27.730848
10,18.0,13.416408,11.401754,3.6055512,10.816654,1.0,1.0,1.0,12.0,0.0,4.0,3.6055512
11,25.298222,26.172504,17.888544,21.470911,8.0,16.27882,7.071068,1.0,1.0,4.0,0.0,17.888544
12,27.513634,19.0,21.931713,8.062258,26.172504,8.5440035,12.727922,15.811388,27.730848,3.6055512,17.888544,0.0
