Object,1,2,3,4,5,6,7,8,9,10,11,12
1,0.0,1.0,7.2111025,1.0,16.970562,1.0,10.0,15.811388,26.172504,18.027756,26.925823,32.449963
2,1.0,0.0,1.0,1.0,5.3851647,5.8309517,1.0,3.1622777,13.892444,7.28011,16.0,19.723083
3,7.2111025,1.0,0.0,3.0,1.0,11.0,2.236068,4.0,9.433981,8.5440035,17.0,18.248287
4,1.0,1.0,3.0,0.0,8.062258,1.0,1.0,5.0,16.124516,7.071068,16.124516,21.400934
5,16.970562,5.3851647,1.0,8.062258,0.0,16.0,6.0,1.0,1.0,9.433981,11.401754,10.440307
6,1.0,5.8309517,11.0,1.0,16.0,0.0,1.0,10.770329,22.847319,9.848858,18.35756,26.24881
7,10.0,1.0,2.236068,1.0,6.0,1.0,0.0,1.0,12.529964,1.0,8.5440035,16.27882
8,15.811388,3.1622777,4.0,5.0,1.0,10.770329,1.0,0.0,1.0,1.0,1.0,1.0
9,26.172504,13.892444,9.433981,16.124516,1.0,22.847319,12.529964,1.0,0.0,10.049875,2.236068,1.0
10,18.027756,7.28011,8.5440035,7.071068,9.433981,9.848858,1.0,1.0,10.049875,0.0,1.0,10.198039
11,26.925823,16.0,17.0,16.124516,11.401754,18.35756,8.5440035,1.0,2.236068,1.0,0.0,1.0
12,32.449963,19.723083,18.248287,21.400934,10.440307,26.24881,16.27882,1.0,1.0,10.198039,1.0,0.0
