Object,1,2,3,4,5,6,7,8,9,10,11
1,0.0,1.0,10.630146,4.1231055,25.0,1.0,24.758837,20.0,28.319605,30.083218,35.014282
2,1.0,0.0,1.0,1.0,10.29563,13.601471,12.083046,14.0,16.492422,26.400757,29.832869
3,10.630146,1.0,0.0,1.0,1.0,22.0,1.0,4.472136,4.472136,21.095022,21.023796
4,4.1231055,1.0,1.0,0.0,10.198039,12.0,8.0,1.0,9.848858,12.206555,14.3178215
5,25.0,10.29563,1.0,10.198039,0.0,33.0,1.0,13.0,3.6055512,27.018513,21.023796
6,1.0,13.601471,22.0,12.0,33.0,0.0,31.0,6.0827627,29.274563,1.0,16.40122
7,24.758837,12.083046,1.0,8.0,1.0,31.0,0.0,10.198039,1.0,22.825424,14.866069
8,20.0,14.0,4.472136,1.0,13.0,6.0827627,10.198039,0.0,9.848858,1.0,1.0
9,28.319605,16.492422,4.472136,9.848858,3.6055512,29.274563,1.0,9.848858,0.0,15.132746,1.0
10,30.083218,26.400757,21.095022,12.206555,27.018513,1.0,22.825424,1.0,15.132746,0.0,1.0
11,35.014282,29.832869,21.023796,14.3178215,21.023796,16.40122,14.866069,1.0,1.0,1.0,0.0
