Object,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,eccentricity
1,92,2.652173913043478,11.282608695652174,17.734145795561723,6.816184809644425,0.9231859087777731
2,36,1.5833333333333333,35.22222222222222,9.738528791547946,5.315996840507942,0.8378681363364477
3,67,2.029850746268657,51.656716417910445,16.036900365388654,5.946917933523775,0.9287019061833345
4,197,6.939086294416244,26.263959390862944,17.01069299732289,15.044442813367587,0.46670901741000287
5,178,11.01685393258427,53.87640449438202,18.68760520756752,13.703389365684215,0.679918583742166
6,68,8.647058823529411,37.11764705882353,14.477850125586604,6.991652538707911,0.8756641266973074
7,356,14.137640449438202,13.308988764044944,32.00648468938629,14.777802546968417,0.8870294936170763
8,200,16.56,38.59,22.22867033057081,12.202418421558937,0.8358554893859613
9,57,24.0,41.70175438596491,13.380127395020413,5.950515345343848,0.8956657499851257
10,372,28.967741935483872,11.919354838709678,27.91149194246153,17.531843723871525,0.7781142472352589
11,134,28.402985074626866,50.708955223880594,17.72995379871274,10.499161262457731,0.8058124602424528
12,291,33.666666666666664,29.515463917525775,27.0944168606681,15.108802716702966,0.8300860769528792
13,174,38.97126436781609,38.701149425287355,25.996464983151963,9.626663202870626,0.9289095777736969
14,21,33.857142857142854,54.42857142857143,6.943100645725336,4.1351512514426885,0.8032982030816377
15,461,47.232104121475054,9.219088937093275,26.310940122603252,23.56300282992458,0.44494250429828697
16,422,48.01658767772512,48.350710900473935,26.682293845060343,20.471628218442497,0.6413643587433482
17,35,56.8,56.6,9.206133846385432,5.51788905311049,0.8004714123777822
18,240,53.96666666666667,27.45,23.673907206891347,14.199354672486118,0.8001580310299613
