Object,Neighbor,Distance
1,2,1.0
1,3,2.828427
2,1,1.0
2,3,1.0
3,1,2.828427
3,2,1.0
4,5,1.0
4,6,1.0
4,9,1.0
5,4,1.0
5,6,1.0
5,7,1.0
6,4,1.0
6,5,1.0
6,7,1.0
6,9,1.0
7,5,1.0
7,6,1.0
7,9,1.0
8,10,1.0
8,11,1.0
8,12,2.828427
8,13,1.0
8,14,1.0
9,4,1.0
9,6,1.0
9,7,1.0
9,10,3.1622777
9,15,1.0
10,8,1.0
10,9,3.1622777
10,11,1.0
10,12,1.0
10,16,1.0
11,8,1.0
11,10,1.0
11,12,1.0
11,13,1.0
12,8,2.828427
12,10,1.0
12,11,1.0
12,13,1.0
12,16,1.0
12,18,3.0
12,19,1.0
12,20,1.0
13,8,1.0
13,11,1.0
13,12,1.0
13,14,1.0
13,18,1.0
13,20,1.0
14,8,1.0
14,13,1.0
14,18,1.0
14,22,2.0
15,9,1.0
15,16,1.0
15,17,1.0
16,10,1.0
16,12,1.0
16,15,1.0
16,17,1.0
16,19,1.0
16,21,1.0
17,15,1.0
17,16,1.0
17,21,1.0
18,8,4.0
18,12,3.0
18,13,1.0
18,14,1.0
18,20,1.0
18,22,1.0
18,23,2.236068
19,12,1.0
19,16,1.0
19,20,1.0
19,21,1.0
19,23,1.4142135
19,25,1.0
20,11,4.0
20,12,1.0
20,13,1.0
20,18,1.0
20,19,1.0
20,22,1.0
20,23,1.0
20,25,1.4142135
21,16,1.0
21,17,1.0
21,19,1.0
21,24,1.0
21,25,1.0
22,14,2.0
22,18,1.0
22,20,1.0
22,23,1.0
22,26,1.0
23,18,2.236068
23,19,1.4142135
23,20,1.0
23,22,1.0
23,24,2.828427
23,25,1.0
23,26,1.0
23,28,1.0
24,21,1.0
24,23,2.828427
24,25,1.0
25,19,1.0
25,20,1.4142135
25,21,1.0
25,23,1.0
25,24,1.0
26,22,1.0
26,23,1.0
26,28,1.0
27,29,1.0
28,23,1.0
28,26,1.0
29,27,1.0
