Object,Neighbor,Distance
3,4,3.1622777
3,5,1.0
3,6,1.0
4,3,3.1622777
4,5,1.0
4,7,1.0
4,8,1.0
5,3,1.0
5,4,1.0
5,6,1.0
5,8,1.0
5,11,1.0
5,14,2.236068
6,3,1.0
6,5,1.0
6,11,1.0
6,14,1.0
7,4,1.0
7,8,1.0
7,11,1.4142135
8,4,1.0
8,5,1.0
8,7,1.0
8,11,1.0
9,10,1.0
9,12,1.0
9,13,1.0
10,9,1.0
10,13,1.0
10,15,1.0
11,5,1.0
11,6,1.0
11,7,1.4142135
11,8,1.0
11,14,1.0
11,16,1.0
12,9,1.0
12,13,1.0
12,17,1.0
12,18,2.828427
13,9,1.0
13,10,1.0
13,12,1.0
13,15,1.0
13,17,1.0
13,18,1.0
13,19,2.236068
14,5,2.236068
14,6,1.0
14,11,1.0
14,16,1.0
15,10,1.0
15,13,1.0
15,18,1.0
15,19,1.0
16,6,4.0
16,11,1.0
16,14,1.0
17,12,1.0
17,13,1.0
17,18,1.0
18,12,2.828427
18,13,1.0
18,15,1.0
18,17,1.0
18,19,1.0
19,13,2.236068
19,15,1.0
19,18,1.0
