Object,Neighbor,Distance
1,8,1.0
2,4,1.0
2,5,3.1622777
4,2,1.0
4,5,1.0
4,6,1.0
4,7,3.1622777
4,10,1.0
4,13,3.6055512
5,2,3.1622777
5,4,1.0
5,7,1.0
5,10,1.0
5,13,1.0
6,4,1.0
6,9,1.0
6,10,1.0
7,4,3.1622777
7,5,1.0
7,11,1.0
7,13,1.0
8,1,1.0
9,6,1.0
9,10,1.0
9,12,1.0
9,14,1.0
9,15,2.236068
10,4,1.0
10,5,1.0
10,6,1.0
10,9,1.0
10,12,1.0
10,13,1.0
10,15,1.0
11,7,1.0
11,13,1.0
11,16,1.0
11,18,2.236068
12,9,1.0
12,10,1.0
12,14,1.0
12,15,1.0
12,17,1.0
13,4,3.6055512
13,5,1.0
13,7,1.0
13,10,1.0
13,11,1.0
13,15,1.0
13,16,1.0
13,18,1.0
13,19,1.0
13,20,1.0
14,9,1.0
14,12,1.0
14,15,2.0
14,17,1.0
15,9,2.236068
15,10,1.0
15,12,1.0
15,13,1.0
15,14,2.0
15,17,1.0
15,19,1.0
15,20,2.236068
15,24,1.0
16,11,1.0
16,13,1.0
16,18,1.0
16,23,1.0
17,12,1.0
17,14,1.0
17,15,1.0
17,19,2.0
17,21,1.0
17,24,1.0
18,11,2.236068
18,13,1.0
18,16,1.0
18,20,1.0
18,23,1.0
18,26,2.828427
19,13,1.0
19,15,1.0
19,17,2.0
19,20,1.0
19,22,1.0
19,24,1.0
20,13,1.0
20,15,2.236068
20,18,1.0
20,19,1.0
20,22,1.0
20,23,1.0
20,26,1.0
21,17,1.0
21,24,1.0
21,27,1.0
21,28,1.0
21,36,1.0
22,19,1.0
22,20,1.0
22,24,1.0
22,26,1.0
22,30,1.0
22,32,1.0
23,16,1.0
23,18,1.0
23,20,1.0
23,26,1.0
23,29,1.0
24,15,1.0
24,17,1.0
24,19,1.0
24,21,1.0
24,22,1.0
24,28,1.0
24,30,1.0
24,31,1.4142135
24,34,1.0
25,27,1.0
26,18,2.828427
26,20,1.0
26,22,1.0
26,23,1.0
26,29,1.0
26,32,1.0
27,21,1.0
27,25,1.0
27,28,3.1622777
27,36,1.0
27,38,1.0
28,21,1.0
28,24,1.0
28,27,3.1622777
28,31,1.0
28,34,1.0
28,36,1.0
28,37,1.0
29,23,1.0
29,26,1.0
29,32,1.0
29,33,1.0
30,22,1.0
30,24,1.0
30,32,1.0
30,34,1.0
31,24,1.4142135
31,28,1.0
31,34,1.0
31,37,3.1622777
32,22,1.0
32,26,1.0
32,29,1.0
32,30,1.0
32,33,1.0
32,34,2.0
33,29,1.0
33,32,1.0
34,24,1.0
34,28,1.0
34,30,1.0
34,31,1.0
34,32,2.0
34,36,2.0
34,37,1.0
35,39,1.0
36,21,1.0
36,27,1.0
36,28,1.0
36,34,2.0
36,37,1.0
36,38,1.0
37,28,1.0
37,31,3.1622777
37,34,1.0
37,36,1.0
38,27,1.0
38,36,1.0
39,35,1.0
