Object,Neighbor,Distance
1,4,1.0
1,7,1.0
2,4,1.0
2,6,1.0
3,5,1.0
3,6,3.6055512
3,8,2.828427
4,1,1.0
4,2,1.0
4,6,1.0
4,7,1.0
4,8,1.0
5,3,1.0
5,6,2.0
5,8,1.0
6,2,1.0
6,3,3.6055512
6,4,1.0
6,5,2.0
6,7,3.1622777
6,8,1.0
7,1,1.0
7,4,1.0
7,6,3.1622777
7,8,1.0
7,10,1.0
7,12,1.0
8,3,2.828427
8,4,1.0
8,5,1.0
8,6,1.0
8,7,1.0
8,9,1.0
8,11,3.6055512
8,12,1.0
9,8,1.0
9,11,1.0
9,12,1.0
9,13,1.0
10,7,1.0
10,12,1.0
10,15,1.0
11,8,3.6055512
11,9,1.0
11,12,3.0
11,13,1.0
11,14,1.0
11,16,1.0
12,4,4.0
12,7,1.0
12,8,1.0
12,9,1.0
12,10,1.0
12,11,3.0
12,13,1.0
12,15,1.0
12,18,1.0
13,9,1.0
13,11,1.0
13,12,1.0
13,16,1.0
13,18,1.0
14,11,1.0
14,13,4.0
14,16,1.0
15,10,1.0
15,12,1.0
15,18,1.0
16,11,1.0
16,13,1.0
16,14,1.0
16,17,1.0
16,18,1.0
17,16,1.0
18,12,1.0
18,13,1.0
18,15,1.0
18,16,1.0
