Object,Neighbor,Distance
1,3,1.0
2,4,1.0
2,5,1.0
2,9,2.236068
3,1,1.0
4,2,1.0
4,5,1.0
4,6,1.0
4,7,1.0
5,2,1.0
5,4,1.0
5,7,1.0
5,9,1.0
6,4,1.0
6,7,1.0
6,8,1.0
6,10,1.0
6,11,1.0
7,4,1.0
7,5,1.0
7,6,1.0
7,9,1.0
7,10,1.0
7,13,1.0
8,6,1.0
8,10,2.0
8,11,1.0
9,2,2.236068
9,5,1.0
9,7,1.0
9,10,4.0
9,12,1.0
9,13,1.0
9,15,1.0
9,16,1.4142135
10,6,1.0
10,7,1.0
10,8,2.0
10,11,1.0
10,13,1.0
10,17,1.0
11,6,1.0
11,8,1.0
11,10,1.0
11,17,3.6055512
12,9,1.0
12,14,1.0
12,15,1.4142135
12,16,1.0
13,7,1.0
13,9,1.0
13,10,1.0
13,15,1.0
13,17,1.0
13,18,1.0
14,12,1.0
14,15,4.0
14,16,1.0
14,19,1.0
15,9,1.0
15,12,1.4142135
15,13,1.0
15,14,4.0
15,16,1.0
15,18,2.0
15,19,1.0
16,9,1.4142135
16,12,1.0
16,14,1.0
16,15,1.0
16,19,1.0
17,10,1.0
17,11,3.6055512
17,13,1.0
17,18,1.0
18,13,1.0
18,15,2.0
18,17,1.0
19,14,1.0
19,15,1.0
19,16,1.0
