Object,Neighbor,Distance
1,3,1.0
1,4,1.0
2,7,1.0
3,1,1.0
3,4,1.0
4,1,1.0
4,3,1.0
5,6,1.0
5,9,1.0
6,5,1.0
6,8,4.0
6,9,1.0
6,12,1.0
7,2,1.0
8,6,4.0
8,11,1.0
8,12,1.0
9,5,1.0
9,6,1.0
9,10,1.0
9,14,1.0
10,9,1.0
10,14,1.0
11,8,1.0
11,12,1.0
11,13,1.0
11,15,2.0
12,6,1.0
12,8,1.0
12,9,4.0
12,11,1.0
12,13,1.0
12,15,1.0
12,17,1.0
13,11,1.0
13,12,1.0
13,15,1.0
13,19,2.0
14,9,1.0
14,10,1.0
14,16,1.0
14,18,1.0
14,20,3.6055512
15,11,2.0
15,12,1.0
15,13,1.0
15,17,1.0
15,19,1.0
15,24,2.0
16,14,1.0
16,18,1.0
17,12,1.0
17,15,1.0
17,19,1.0
17,20,1.0
17,22,1.0
17,24,1.0
18,9,4.0
18,14,1.0
18,16,1.0
18,20,1.0
18,23,1.0
19,13,2.0
19,15,1.0
19,17,1.0
19,21,1.0
19,24,1.0
19,25,1.0
20,14,3.6055512
20,17,1.0
20,18,1.0
20,22,1.0
20,23,1.0
20,26,1.0
21,19,1.0
21,25,1.0
21,27,2.0
22,17,1.0
22,20,1.0
22,24,1.0
22,26,3.0
22,28,1.0
23,18,1.0
23,20,1.0
23,26,1.0
24,15,2.0
24,17,1.0
24,19,1.0
24,22,1.0
24,25,1.0
24,28,1.0
25,19,1.0
25,21,1.0
25,24,1.0
25,27,1.0
25,28,1.0
25,29,1.0
26,20,1.0
26,22,3.0
26,23,1.0
27,21,2.0
27,25,1.0
27,29,1.0
27,30,1.0
28,22,1.0
28,24,1.0
28,25,1.0
28,29,1.0
28,31,1.0
28,33,1.0
29,25,1.0
29,27,1.0
29,28,1.0
29,30,1.0
29,31,1.0
29,32,1.0
29,34,1.0
30,27,1.0
30,29,1.0
30,32,1.0
31,25,4.0
31,28,1.0
31,29,1.0
31,33,1.0
31,34,1.0
31,37,1.0
32,29,1.0
32,30,1.0
32,34,1.0
32,36,1.0
33,28,1.0
33,31,1.0
33,37,1.0
34,29,1.0
34,31,1.0
34,32,1.0
34,36,1.0
34,37,1.0
35,38,1.0
36,32,1.0
36,34,1.0
36,37,1.0
37,31,1.0
37,33,1.0
37,34,1.0
37,36,1.0
38,35,1.0
