Object,Neighbor,Distance
1,5,1.0
2,6,1.0
3,4,1.0
3,6,3.6055512
3,11,1.0
4,3,1.0
5,1,1.0
6,2,1.0
6,3,3.6055512
6,7,1.0
7,6,1.0
7,8,1.0
7,9,1.0
8,7,1.0
8,9,1.0
8,10,1.0
8,13,1.0
9,7,1.0
9,8,1.0
9,14,1.0
10,8,1.0
10,13,1.0
10,15,1.4142135
11,3,1.0
11,12,1.0
11,16,1.0
12,11,1.0
12,16,1.0
13,8,1.0
13,10,1.0
13,15,1.0
14,9,1.0
14,18,1.0
14,19,1.0
15,10,1.4142135
15,13,1.0
15,19,2.0
16,11,1.0
16,12,1.0
16,17,1.0
16,18,1.0
17,12,4.0
17,16,1.0
17,18,1.0
18,14,1.0
18,16,1.0
18,17,1.0
18,19,1.0
18,20,1.0
19,14,1.0
19,15,2.0
19,18,1.0
19,20,1.0
20,18,1.0
20,19,1.0
