Object,Neighbor,Distance
1,3,1.0
2,7,1.0
3,1,1.0
4,5,1.0
4,6,1.0
4,8,1.0
4,9,1.0
4,13,3.6055512
5,4,1.0
5,6,2.236068
5,8,1.0
5,10,3.6055512
6,4,1.0
6,5,2.236068
6,8,1.0
6,9,1.0
6,12,1.0
7,2,1.0
8,4,1.0
8,5,1.0
8,6,1.0
8,9,2.0
8,10,1.0
8,12,1.0
8,15,1.0
9,4,1.0
9,6,1.0
9,8,2.0
9,12,1.0
9,13,1.0
10,5,3.6055512
10,8,1.0
10,14,1.0
10,15,1.0
11,13,1.0
11,16,1.0
11,17,1.0
12,6,1.0
12,8,1.0
12,9,1.0
12,13,1.0
12,15,1.0
12,19,1.0
12,25,3.0
13,4,3.6055512
13,9,1.0
13,11,1.0
13,12,1.0
13,16,1.0
13,19,1.0
14,10,1.0
14,15,1.0
14,18,1.0
14,20,1.0
14,22,1.4142135
14,24,1.0
14,25,1.0
15,8,1.0
15,10,1.0
15,12,1.0
15,14,1.0
15,24,3.6055512
15,25,1.0
16,11,1.0
16,13,1.0
16,17,1.0
16,19,1.0
16,21,1.0
16,23,1.0
17,11,1.0
17,16,1.0
17,23,1.0
18,14,1.0
18,20,1.0
18,22,1.0
19,12,1.0
19,13,1.0
19,16,1.0
19,21,1.0
20,14,1.0
20,18,1.0
20,22,1.0
20,24,1.4142135
21,16,1.0
21,19,1.0
21,23,1.0
21,28,1.0
22,14,1.4142135
22,18,1.0
22,20,1.0
22,24,1.0
22,27,1.0
23,16,1.0
23,17,1.0
23,21,1.0
23,28,1.0
23,31,2.236068
24,14,1.0
24,15,3.6055512
24,20,1.4142135
24,22,1.0
24,25,1.0
24,27,1.0
25,12,3.0
25,14,1.0
25,15,1.0
25,24,1.0
25,26,1.0
25,27,1.0
25,32,1.0
26,12,4.0
26,25,1.0
26,30,1.0
26,32,1.0
26,36,3.6055512
26,38,3.1622777
26,41,1.0
27,22,1.0
27,24,1.0
27,25,1.0
27,32,3.6055512
28,21,1.0
28,23,1.0
28,29,1.0
28,31,1.0
28,37,1.0
29,28,1.0
29,31,1.0
29,37,1.0
29,39,1.0
30,26,1.0
30,33,1.0
30,41,1.0
30,43,1.0
31,23,2.236068
31,28,1.0
31,29,1.0
31,37,2.828427
31,39,1.0
32,25,1.0
32,26,1.0
32,27,3.6055512
32,34,3.1622777
32,36,1.0
32,38,1.0
32,41,1.0
33,30,1.0
33,37,1.0
33,41,3.1622777
33,43,1.0
34,32,3.1622777
34,35,1.0
34,36,1.0
35,34,1.0
35,40,1.0
35,50,1.0
36,26,3.6055512
36,32,1.0
36,34,1.0
36,35,4.0
36,38,1.0
36,41,2.0
37,28,1.0
37,29,1.0
37,31,2.828427
37,33,1.0
37,39,1.0
37,42,1.0
37,43,1.0
38,26,3.1622777
38,32,1.0
38,36,1.0
38,41,1.0
39,29,1.0
39,31,1.0
39,37,1.0
39,42,1.0
40,35,1.0
40,49,1.0
40,50,1.0
41,25,4.0
41,26,1.0
41,30,1.0
41,32,1.0
41,33,3.1622777
41,36,2.0
41,38,1.0
41,43,1.0
41,44,1.0
41,45,1.0
41,46,1.0
42,37,1.0
42,39,1.0
42,43,1.0
43,30,1.0
43,33,1.0
43,37,1.0
43,41,1.0
43,42,1.0
43,46,1.0
44,41,1.0
44,45,1.0
44,46,3.1622777
45,41,1.0
45,44,1.0
45,46,1.0
45,48,1.0
46,41,1.0
46,43,1.0
46,44,3.1622777
46,45,1.0
46,48,1.0
47,51,1.0
48,45,1.0
48,46,1.0
49,40,1.0
49,50,1.0
50,35,1.0
50,40,1.0
50,49,1.0
51,47,1.0
