Object,area,centroid-0,centroid-1,axis_major_length,axis_minor_length,eccentricity
1,38,2.026315789473684,48.23684210526316,10.426617479267035,5.336883345298092,0.8590737416189461
2,23,1.391304347826087,54.30434782608695,7.248741945614632,4.319054053673374,0.8031068856564116
3,58,3.5344827586206895,59.05172413793103,11.886832393497272,6.788936614638856,0.8208590374088006
4,126,4.920634920634921,15.428571428571429,13.268670617614625,12.767069419922583,0.27235592799685454
5,39,7.0256410256410255,43.82051282051282,9.479024602492743,5.860040234208894,0.7860119426237823
6,57,8.105263157894736,7.43859649122807,9.62097476404432,7.634589204081404,0.6085233931532655
7,93,10.161290322580646,57.064516129032256,15.6005960484088,8.353022276488112,0.8445798062310498
8,86,9.94186046511628,35.52325581395349,12.686141004143373,8.935116065890336,0.7098815874090063
9,86,11.790697674418604,26.127906976744185,12.568607541082768,9.218155926828615,0.679768238865024
10,54,13.092592592592593,19.685185185185187,10.287980808601105,7.3225492810743225,0.7024250955115795
11,47,15.936170212765957,37.702127659574465,10.677734129337388,6.167096074323614,0.8163440011255696
12,169,19.85207100591716,8.727810650887575,22.68488662104424,12.698694745112206,0.8286368338007571
13,111,17.945945945945947,44.207207207207205,15.968727353409072,9.475207308884897,0.8049370591158123
14,102,23.470588235294116,15.392156862745098,17.641488627428753,7.7579506984163915,0.8981172803248597
15,180,19.93888888888889,54.62777777777778,16.657001121305615,14.270443168056296,0.5157760764150648
16,87,20.7816091954023,31.17241379310345,13.192131617194816,8.881995608053204,0.7393878035600673
17,102,25.872549019607842,22.558823529411764,14.173014381504291,10.597197556894834,0.6640339211053563
18,67,27.73134328358209,42.3134328358209,10.14925524586057,9.453593517004903,0.36385175640572354
19,145,31.33103448275862,33.324137931034485,14.16609230625593,13.358628611434881,0.33279201486302806
20,153,32.03921568627451,55.26797385620915,14.943453351845879,14.163956912328809,0.3187556410966065
21,35,33.628571428571426,47.31428571428572,9.544222997783262,4.896651419458723,0.8583594864612757
22,107,35.36448598130841,21.214953271028037,15.480107614878259,10.746287620116393,0.7197823537660425
23,98,39.13265306122449,44.204081632653065,12.851703726522734,10.26625428519561,0.6015642999255907
24,197,43.53299492385787,33.07106598984772,20.857421514863653,12.58379817921545,0.7974956248164957
